Time,State,Progress,Total,Trump Share,Trump Vote,Biden Share,Biden Vote,Other Share,Other Vote,Adjusted Progress,Biden Projection,Trump Projection
2020-11-07 01:31:11.800665,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784538.5802711225,1805675.8094265275
2020-11-07 01:41:19.102472,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784548.241486364,1805646.7653000953
2020-11-07 01:51:26.562284,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784557.6068414496,1805618.6592171586
2020-11-07 02:01:35.524950,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784566.6902283172,1805591.4471325737
2020-11-07 02:11:43.475068,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784575.504682675,1805565.0877164279
2020-11-07 02:21:50.744524,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784584.0624488015,1805539.5421475521
2020-11-07 02:31:58.140265,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784592.375038831,1805514.773926237
2020-11-07 02:42:05.647132,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784600.4532865635,1805490.7487033359
2020-11-07 02:52:13.208099,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784608.3073968776,1805467.4341239051
2020-11-07 03:02:21.007019,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784615.9469905528,1805444.7996848465
2020-11-07 03:12:28.385838,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784623.3811455702,1805422.8166041374
