,Unnamed: 0,year_2020,county_fips,totalvotes_2020,party_2020,county_name_2020,state_2020,state_po_2020,candidatevotes_2020,voteShare_2020,year_2016,totalvotes_2016,party_2016,county_name_2016,state_2016,state_po_2016,candidatevotes_2016,voteShare_2016,DELTA,CLUSTER
486,486,2020,42051.0,62139,DEMOCRAT,FAYETTE,PENNSYLVANIA,PA,20444,0.329004329004329,2016,53767,DEMOCRAT,FAYETTE,PENNSYLVANIA,PA,17946,0.3337735041940223,-0.4769175189693331,7
487,487,2020,42053.0,2646,DEMOCRAT,FOREST,PENNSYLVANIA,PA,728,0.2751322751322751,2016,2401,DEMOCRAT,FOREST,PENNSYLVANIA,PA,626,0.2607246980424823,1.4407577089792845,0
488,488,2020,42055.0,80783,DEMOCRAT,FRANKLIN,PENNSYLVANIA,PA,22422,0.277558397187527,2016,69731,DEMOCRAT,FRANKLIN,PENNSYLVANIA,PA,17465,0.2504624915747659,2.709590561276115,2
489,489,2020,42057.0,7977,DEMOCRAT,FULTON,PENNSYLVANIA,PA,1085,0.1360160461326313,2016,6771,DEMOCRAT,FULTON,PENNSYLVANIA,PA,912,0.1346920691182986,0.1323977014332705,5
490,490,2020,42059.0,17669,DEMOCRAT,GREENE,PENNSYLVANIA,PA,4911,0.2779444224347727,2016,15764,DEMOCRAT,GREENE,PENNSYLVANIA,PA,4482,0.2843187008373509,-0.6374278402578204,7
491,491,2020,42061.0,22792,DEMOCRAT,HUNTINGDON,PENNSYLVANIA,PA,5445,0.2388996138996139,2016,19706,DEMOCRAT,HUNTINGDON,PENNSYLVANIA,PA,4539,0.2303359382929057,0.8563675606708177,4
492,492,2020,42063.0,41198,DEMOCRAT,INDIANA,PENNSYLVANIA,PA,12634,0.306665372105442,2016,37770,DEMOCRAT,INDIANA,PENNSYLVANIA,PA,11528,0.305215779719354,0.144959238608805,5
493,493,2020,42065.0,22824,DEMOCRAT,JEFFERSON,PENNSYLVANIA,PA,4527,0.1983438485804416,2016,19478,DEMOCRAT,JEFFERSON,PENNSYLVANIA,PA,3650,0.1873909025567306,1.095294602371097,4
494,494,2020,42067.0,12043,DEMOCRAT,JUNIATA,PENNSYLVANIA,PA,2253,0.1870796313210994,2016,10454,DEMOCRAT,JUNIATA,PENNSYLVANIA,PA,1821,0.1741916969581021,1.288793436299723,0
495,495,2020,42069.0,115410,DEMOCRAT,LACKAWANNA,PENNSYLVANIA,PA,61991,0.5371371631574386,2016,103456,DEMOCRAT,LACKAWANNA,PENNSYLVANIA,PA,51983,0.5024648159604083,3.4672347197030384,3
496,496,2020,42071.0,280239,DEMOCRAT,LANCASTER,PENNSYLVANIA,PA,115847,0.4133864308679377,2016,241112,DEMOCRAT,LANCASTER,PENNSYLVANIA,PA,91093,0.3778036762998109,3.5582754568126878,3
497,497,2020,42073.0,46076,DEMOCRAT,LAWRENCE,PENNSYLVANIA,PA,15978,0.346774893653963,2016,40753,DEMOCRAT,LAWRENCE,PENNSYLVANIA,PA,14009,0.3437538340735651,0.3021059580397889,5
498,498,2020,42075.0,71652,DEMOCRAT,LEBANON,PENNSYLVANIA,PA,23932,0.3340032378719366,2016,61845,DEMOCRAT,LEBANON,PENNSYLVANIA,PA,18953,0.3064596976311747,2.754354024076189,2
499,499,2020,42077.0,184713,DEMOCRAT,LEHIGH,PENNSYLVANIA,PA,98288,0.5321119791243714,2016,160993,DEMOCRAT,LEHIGH,PENNSYLVANIA,PA,81324,0.5051399750299702,2.6972004094401147,2
500,500,2020,42079.0,153321,DEMOCRAT,LUZERNE,PENNSYLVANIA,PA,64873,0.4231188160786845,2016,134983,DEMOCRAT,LUZERNE,PENNSYLVANIA,PA,52451,0.3885748575746575,3.454395850402703,3
501,501,2020,42081.0,59254,DEMOCRAT,LYCOMING,PENNSYLVANIA,PA,16971,0.2864110439801532,2016,50565,DEMOCRAT,LYCOMING,PENNSYLVANIA,PA,13020,0.2574903589439336,2.892068503621964,2
502,502,2020,42083.0,19466,DEMOCRAT,MCKEAN,PENNSYLVANIA,PA,5098,0.2618925305661153,2016,16296,DEMOCRAT,MCKEAN,PENNSYLVANIA,PA,4025,0.2469931271477663,1.4899403418348944,0
503,503,2020,42085.0,57954,DEMOCRAT,MERCER,PENNSYLVANIA,PA,21067,0.3635124409014045,2016,52309,DEMOCRAT,MERCER,PENNSYLVANIA,PA,18733,0.3581219293047085,0.5390511596696013,4
504,504,2020,42087.0,21502,DEMOCRAT,MIFFLIN,PENNSYLVANIA,PA,4603,0.214073109478188,2016,18601,DEMOCRAT,MIFFLIN,PENNSYLVANIA,PA,3877,0.2084296543196602,0.5643455158527849,4
505,505,2020,42089.0,83829,DEMOCRAT,MONROE,PENNSYLVANIA,PA,44060,0.5255937682663517,2016,69752,DEMOCRAT,MONROE,PENNSYLVANIA,PA,33918,0.4862656267920633,3.9328141474288425,6
506,506,2020,42091.0,510157,DEMOCRAT,MONTGOMERY,PENNSYLVANIA,PA,319511,0.6262993549044706,2016,434687,DEMOCRAT,MONTGOMERY,PENNSYLVANIA,PA,256082,0.589118147080543,3.718120782392764,3
507,507,2020,42093.0,9771,DEMOCRAT,MONTOUR,PENNSYLVANIA,PA,3771,0.3859379797359533,2016,8556,DEMOCRAT,MONTOUR,PENNSYLVANIA,PA,2857,0.3339177185600748,5.202026117587854,8
508,508,2020,42095.0,170942,DEMOCRAT,NORTHAMPTON,PENNSYLVANIA,PA,85087,0.4977536240362228,2016,143519,DEMOCRAT,NORTHAMPTON,PENNSYLVANIA,PA,66272,0.4617646444024832,3.598897963373954,3
509,509,2020,42097.0,42283,DEMOCRAT,NORTHUMBERLAND,PENNSYLVANIA,PA,12677,0.299813163682804,2016,36622,DEMOCRAT,NORTHUMBERLAND,PENNSYLVANIA,PA,9788,0.267271039266015,3.2542124416789,3
510,510,2020,42099.0,24652,DEMOCRAT,PERRY,PENNSYLVANIA,PA,5950,0.2413597274054843,2016,21158,DEMOCRAT,PERRY,PENNSYLVANIA,PA,4632,0.2189242839587862,2.2435443446698065,1
511,511,2020,42101.0,741377,DEMOCRAT,PHILADELPHIA,PENNSYLVANIA,PA,603790,0.814416956555167,2016,707631,DEMOCRAT,PHILADELPHIA,PENNSYLVANIA,PA,584025,0.8253242155869372,-1.0907259031770256,7
